"","G","G","G","G","G","G"
"1",22890819,22890821,22890824,22890829,22890836,22890840
"2",22890815,22890819,22890825,22890829,22890840,22890851
"3",22890819,22890822,22890824,22890825,22890829,22890842
"4",22890819,22890824,22890826,22890828,22890829,22890832
"5",22890815,22890819,22890825,22890829,22890836,22890851
"6",22890815,22890819,22890821,22890829,22890848,22890851
"7",22890815,22890819,22890826,22890828,22890829,22890849
"8",22890819,22890821,22890824,22890825,22890833,22890841
"9",22890815,22890819,22890825,22890829,22890841,22890848
"10",22890819,22890825,22890826,22890828,22890829,22890836
"11",22890815,22890824,22890825,22890829,22890835,22890840
"12",22890819,22890821,22890824,22890829,22890836,22890841
"13",22890819,22890824,22890825,22890826,22890834,22890840
"14",22890815,22890824,22890825,22890829,22890835,22890836
"15",22890815,22890819,22890825,22890829,22890841,22890851
"16",22890815,22890821,22890824,22890829,22890835,22890848
"17",22890819,22890824,22890825,22890826,22890834,22890836
"18",22890819,22890821,22890824,22890826,22890834,22890848
"19",22890815,22890819,22890824,22890828,22890840,22890849
"20",22890815,22890821,22890824,22890829,22890835,22890851
"21",22890815,22890819,22890825,22890828,22890829,22890852
"22",22890815,22890819,22890825,22890829,22890835,22890841
"23",22890819,22890821,22890826,22890828,22890829,22890835
"24",22890815,22890819,22890825,22890829,22890830,22890848
"25",22890815,22890819,22890825,22890829,22890830,22890851
"26",22890815,22890819,22890825,22890828,22890835,22890851
"27",22890819,22890825,22890826,22890828,22890829,22890830
"28",22890819,22890821,22890826,22890828,22890829,22890834
"29",22890819,22890820,22890821,22890828,22890829,22890851
"30",22890819,22890821,22890826,22890828,22890829,22890840
"31",22890819,22890821,22890826,22890828,22890829,22890836
"32",22890819,22890821,22890826,22890828,22890829,22890841
"33",22890819,22890820,22890821,22890828,22890829,22890849
"34",22890815,22890819,22890821,22890829,22890840,22890849
"35",22890815,22890821,22890826,22890828,22890835,22890840
"36",22890815,22890821,22890826,22890828,22890835,22890836
"37",22890815,22890821,22890826,22890828,22890835,22890841
"38",22890815,22890821,22890826,22890828,22890834,22890840
"39",22890815,22890821,22890822,22890826,22890840,22890849
"40",22890815,22890821,22890822,22890826,22890841,22890849
"41",22890815,22890821,22890823,22890826,22890835,22890849
"42",22890815,22890821,22890826,22890830,22890835,22890840
"43",22890815,22890821,22890826,22890830,22890835,22890836
"44",22890815,22890820,22890821,22890826,22890840,22890854
"45",22890820,22890821,22890822,22890826,22890836,22890840
"46",22890820,22890821,22890822,22890826,22890840,22890841
"47",22890820,22890822,22890823,22890826,22890836,22890840
"48",22890814,22890820,22890822,22890836,22890840,22890841
"49",22890811,22890820,22890830,22890836,22890840,22890841
"50",22890817,22890820,22890822,22890830,22890836,22890841
"51",22890814,22890820,22890822,22890836,22890839,22890841
"52",22890817,22890820,22890822,22890831,22890836,22890841
"53",22890816,22890820,22890822,22890836,22890838,22890841
"54",22890814,22890820,22890822,22890836,22890841,22890846
"55",22890816,22890820,22890822,22890836,22890837,22890841
"56",22890814,22890820,22890822,22890836,22890841,22890850
"57",22890820,22890822,22890823,22890830,22890831,22890836
"58",22890820,22890822,22890823,22890830,22890836,22890838
"59",22890820,22890822,22890823,22890830,22890836,22890837
"60",22890817,22890820,22890822,22890830,22890837,22890838
"61",22890820,22890822,22890823,22890827,22890830,22890838
"62",22890816,22890820,22890822,22890831,22890837,22890838
"63",22890811,22890822,22890823,22890837,22890838,22890854
"64",22890811,22890822,22890831,22890833,22890837,22890838
"65",22890811,22890822,22890823,22890837,22890838,22890852
"66",22890814,22890822,22890823,22890833,22890837,22890838
"67",22890811,22890823,22890831,22890833,22890837,22890838
"68",22890811,22890823,22890827,22890831,22890838,22890846
"69",22890811,22890823,22890827,22890831,22890838,22890850
"70",22890811,22890814,22890831,22890838,22890846,22890854
"71",22890811,22890814,22890831,22890838,22890850,22890854
"72",22890811,22890814,22890833,22890838,22890846,22890850
"73",22890811,22890823,22890827,22890831,22890833,22890854
"74",22890808,22890823,22890831,22890833,22890846,22890850
"75",22890808,22890823,22890831,22890833,22890844,22890850
"76",22890811,22890816,22890823,22890846,22890850,22890854
"77",22890811,22890814,22890823,22890852,22890853,22890854
"78",22890811,22890817,22890823,22890844,22890846,22890854
"79",22890811,22890814,22890833,22890839,22890846,22890847
"80",22890811,22890814,22890833,22890842,22890844,22890846
"81",22890811,22890814,22890833,22890839,22890844,22890853
"82",22890808,22890814,22890839,22890844,22890852,22890853
"83",22890808,22890817,22890833,22890839,22890847,22890852
"84",22890814,22890816,22890827,22890833,22890839,22890842
"85",22890814,22890816,22890827,22890833,22890839,22890847
"86",22890812,22890814,22890833,22890839,22890842,22890843
"87",22890812,22890814,22890833,22890839,22890842,22890847
"88",22890814,22890817,22890827,22890833,22890839,22890842
"89",22890814,22890816,22890827,22890832,22890839,22890842
"90",22890814,22890816,22890827,22890832,22890839,22890847
"91",22890814,22890817,22890827,22890832,22890839,22890842
"92",22890812,22890816,22890827,22890839,22890842,22890843
"93",22890814,22890816,22890827,22890832,22890842,22890843
"94",22890814,22890817,22890827,22890832,22890842,22890843
"95",22890812,22890814,22890832,22890842,22890843,22890855
"96",22890812,22890813,22890832,22890842,22890843,22890855
"97",0,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA
